"campaign","variable","mu","sigma"
"Jan-26","salinita",26.7561240253088,12.6706487070894
"Jan-26","temperatura",13.3560220704255,2.09119624037842
"Jan-26","ossigeno_mgkg",9.56777795162354,1.45085300154771
"Jan-26","ph",8.22626336192402,0.20078045388301
"Jan-26","trx_chla",0.7454387001887,2.76785263433258
"Jan-26","phycocyanin",0.495680057279322,1.36281463395932
"Jan-26","phycoerythrin",1.71995238829798,2.25105083610611
"Jan-26","dist",3.3750824543104,1.40837985577958
"Jul-25","salinita",19.4434146614627,10.2928857507109
"Jul-25","temperatura",26.1798551201133,1.0220619725727
"Jul-25","ossigeno_mgkg",6.98167642273147,1.87307864497981
"Jul-25","ph",7.77633412974125,0.0626129796898335
"Jul-25","trx_chla",3.12258110592258,1.63971816780818
"Jul-25","phycocyanin",2.87675675551738,1.59358883661846
"Jul-25","phycoerythrin",3.87530499784573,1.67610634818843
"Jul-25","dist",12.0037558770958,7.1258195666866
