RUN tag=full  R=200  scen=S1_jan+S2_jul+S4_miss+S3_nogp  chains=4 iter=1500 warmup=750
shard 0/3 handles 67 reps
[full] scen=S2_jul rep=100/200 done (798.2 min elapsed)
[full] scen=S2_jul rep=103/200 done (800.8 min elapsed)
[full] scen=S2_jul rep=106/200 done (804.6 min elapsed)
[full] scen=S2_jul rep=109/200 done (807.4 min elapsed)
[full] scen=S2_jul rep=112/200 done (810.1 min elapsed)
[full] scen=S2_jul rep=115/200 done (813.1 min elapsed)
[full] scen=S2_jul rep=118/200 done (815.8 min elapsed)
[full] scen=S2_jul rep=121/200 done (818.8 min elapsed)
[full] scen=S2_jul rep=124/200 done (821.4 min elapsed)
[full] scen=S2_jul rep=127/200 done (824.1 min elapsed)
[full] scen=S2_jul rep=130/200 done (826.8 min elapsed)
[full] scen=S2_jul rep=133/200 done (829.5 min elapsed)
[full] scen=S2_jul rep=136/200 done (832.2 min elapsed)
[full] scen=S2_jul rep=139/200 done (834.9 min elapsed)
[full] scen=S2_jul rep=142/200 done (837.5 min elapsed)
[full] scen=S2_jul rep=145/200 done (840.1 min elapsed)
[full] scen=S2_jul rep=148/200 done (842.7 min elapsed)
[full] scen=S2_jul rep=151/200 done (845.3 min elapsed)
[full] scen=S2_jul rep=154/200 done (847.9 min elapsed)
[full] scen=S2_jul rep=157/200 done (850.5 min elapsed)
[full] scen=S2_jul rep=160/200 done (853.1 min elapsed)
[full] scen=S2_jul rep=163/200 done (856.5 min elapsed)
[full] scen=S2_jul rep=166/200 done (859.9 min elapsed)
[full] scen=S2_jul rep=169/200 done (862.5 min elapsed)
[full] scen=S2_jul rep=172/200 done (865.2 min elapsed)
[full] scen=S2_jul rep=175/200 done (868.1 min elapsed)
[full] scen=S2_jul rep=178/200 done (870.8 min elapsed)
[full] scen=S2_jul rep=181/200 done (873.4 min elapsed)
[full] scen=S2_jul rep=184/200 done (875.9 min elapsed)
[full] scen=S2_jul rep=187/200 done (878.5 min elapsed)
[full] scen=S2_jul rep=190/200 done (881.1 min elapsed)
[full] scen=S2_jul rep=193/200 done (883.8 min elapsed)
[full] scen=S2_jul rep=196/200 done (886.7 min elapsed)
[full] scen=S2_jul rep=199/200 done (889.3 min elapsed)
[full] scen=S4_miss rep=1/200 done (891.9 min elapsed)
[full] scen=S4_miss rep=4/200 done (894.8 min elapsed)
[full] scen=S4_miss rep=7/200 done (897.8 min elapsed)
[full] scen=S4_miss rep=10/200 done (900.4 min elapsed)
[full] scen=S4_miss rep=13/200 done (903.5 min elapsed)
[full] scen=S4_miss rep=16/200 done (906.1 min elapsed)
[full] scen=S4_miss rep=19/200 done (908.7 min elapsed)
[full] scen=S4_miss rep=22/200 done (911.4 min elapsed)
[full] scen=S4_miss rep=25/200 done (914.0 min elapsed)
[full] scen=S4_miss rep=28/200 done (916.6 min elapsed)
[full] scen=S4_miss rep=31/200 done (919.2 min elapsed)
[full] scen=S4_miss rep=34/200 done (921.8 min elapsed)
[full] scen=S4_miss rep=37/200 done (924.4 min elapsed)
