RUN tag=s3  R=200  scen=S3_nogp  chains=4 iter=1500 warmup=750
shard 2/3 handles 66 reps
[s3] scen=S3_nogp rep=3/200 done (8.7 min elapsed)
[s3] scen=S3_nogp rep=6/200 done (18.7 min elapsed)
[s3] scen=S3_nogp rep=9/200 done (28.5 min elapsed)
[s3] scen=S3_nogp rep=12/200 done (38.2 min elapsed)
[s3] scen=S3_nogp rep=15/200 done (48.1 min elapsed)
[s3] scen=S3_nogp rep=18/200 done (57.9 min elapsed)
[s3] scen=S3_nogp rep=21/200 done (67.6 min elapsed)
[s3] scen=S3_nogp rep=24/200 done (76.9 min elapsed)
[s3] scen=S3_nogp rep=27/200 done (85.6 min elapsed)
[s3] scen=S3_nogp rep=30/200 done (94.9 min elapsed)
[s3] scen=S3_nogp rep=33/200 done (106.3 min elapsed)
[s3] scen=S3_nogp rep=36/200 done (115.2 min elapsed)
[s3] scen=S3_nogp rep=39/200 done (124.8 min elapsed)
[s3] scen=S3_nogp rep=42/200 done (136.3 min elapsed)
[s3] scen=S3_nogp rep=45/200 done (145.3 min elapsed)
[s3] scen=S3_nogp rep=48/200 done (154.8 min elapsed)
[s3] scen=S3_nogp rep=51/200 done (166.4 min elapsed)
[s3] scen=S3_nogp rep=54/200 done (175.1 min elapsed)
[s3] scen=S3_nogp rep=57/200 done (184.5 min elapsed)
[s3] scen=S3_nogp rep=60/200 done (193.9 min elapsed)
[s3] scen=S3_nogp rep=63/200 done (203.4 min elapsed)
[s3] scen=S3_nogp rep=66/200 done (212.5 min elapsed)
[s3] scen=S3_nogp rep=69/200 done (221.5 min elapsed)
[s3] scen=S3_nogp rep=72/200 done (230.2 min elapsed)
[s3] scen=S3_nogp rep=75/200 done (240.4 min elapsed)
[s3] scen=S3_nogp rep=78/200 done (248.8 min elapsed)
[s3] scen=S3_nogp rep=81/200 done (258.9 min elapsed)
[s3] scen=S3_nogp rep=84/200 done (270.5 min elapsed)
[s3] scen=S3_nogp rep=87/200 done (282.0 min elapsed)
[s3] scen=S3_nogp rep=90/200 done (290.7 min elapsed)
[s3] scen=S3_nogp rep=93/200 done (299.3 min elapsed)
[s3] scen=S3_nogp rep=96/200 done (307.7 min elapsed)
[s3] scen=S3_nogp rep=99/200 done (353.7 min elapsed)
[s3] scen=S3_nogp rep=102/200 done (364.7 min elapsed)
[s3] scen=S3_nogp rep=105/200 done (373.9 min elapsed)
[s3] scen=S3_nogp rep=108/200 done (382.4 min elapsed)
[s3] scen=S3_nogp rep=111/200 done (390.9 min elapsed)
[s3] scen=S3_nogp rep=114/200 done (402.8 min elapsed)
[s3] scen=S3_nogp rep=117/200 done (411.6 min elapsed)
[s3] scen=S3_nogp rep=120/200 done (420.4 min elapsed)
[s3] scen=S3_nogp rep=123/200 done (431.8 min elapsed)
[s3] scen=S3_nogp rep=126/200 done (440.0 min elapsed)
[s3] scen=S3_nogp rep=129/200 done (447.6 min elapsed)
[s3] scen=S3_nogp rep=132/200 done (457.6 min elapsed)
[s3] scen=S3_nogp rep=135/200 done (469.7 min elapsed)
[s3] scen=S3_nogp rep=138/200 done (483.3 min elapsed)
[s3] scen=S3_nogp rep=141/200 done (490.5 min elapsed)
[s3] scen=S3_nogp rep=144/200 done (553.7 min elapsed)
[s3] scen=S3_nogp rep=147/200 done (564.5 min elapsed)
[s3] scen=S3_nogp rep=150/200 done (573.9 min elapsed)
[s3] scen=S3_nogp rep=153/200 done (582.0 min elapsed)
[s3] scen=S3_nogp rep=156/200 done (592.0 min elapsed)
[s3] scen=S3_nogp rep=159/200 done (600.1 min elapsed)
[s3] scen=S3_nogp rep=162/200 done (608.0 min elapsed)
[s3] scen=S3_nogp rep=165/200 done (616.4 min elapsed)
[s3] scen=S3_nogp rep=168/200 done (625.6 min elapsed)
[s3] scen=S3_nogp rep=171/200 done (637.2 min elapsed)
[s3] scen=S3_nogp rep=174/200 done (648.7 min elapsed)
[s3] scen=S3_nogp rep=177/200 done (658.3 min elapsed)
[s3] scen=S3_nogp rep=180/200 done (665.5 min elapsed)
[s3] scen=S3_nogp rep=183/200 done (674.3 min elapsed)
[s3] scen=S3_nogp rep=186/200 done (682.3 min elapsed)
[s3] scen=S3_nogp rep=189/200 done (690.9 min elapsed)
[s3] scen=S3_nogp rep=192/200 done (703.3 min elapsed)
[s3] scen=S3_nogp rep=195/200 done (711.3 min elapsed)
[s3] scen=S3_nogp rep=198/200 done (720.0 min elapsed)
Ci sono 50 o più avvertimenti (utilizza warnings() per visualizzare i primi 50)

DONE. Wrote sim/sim_results_s3_shard2.rds with 1848 rows
