RUN tag=full  R=200  scen=S1_jan+S2_jul+S4_miss+S3_nogp  chains=4 iter=1500 warmup=750
shard 2/3 handles 66 reps
[full] scen=S1_jan rep=3/200 done (10.9 min elapsed)
[full] scen=S1_jan rep=6/200 done (21.0 min elapsed)
[full] scen=S1_jan rep=9/200 done (31.0 min elapsed)
[full] scen=S1_jan rep=12/200 done (39.8 min elapsed)
[full] scen=S1_jan rep=15/200 done (49.7 min elapsed)
[full] scen=S1_jan rep=18/200 done (59.3 min elapsed)
[full] scen=S1_jan rep=21/200 done (69.3 min elapsed)
[full] scen=S1_jan rep=24/200 done (78.9 min elapsed)
[full] scen=S1_jan rep=27/200 done (88.3 min elapsed)
[full] scen=S1_jan rep=30/200 done (95.6 min elapsed)
[full] scen=S1_jan rep=33/200 done (105.5 min elapsed)
[full] scen=S1_jan rep=36/200 done (113.4 min elapsed)
[full] scen=S1_jan rep=39/200 done (123.3 min elapsed)
[full] scen=S1_jan rep=42/200 done (133.4 min elapsed)
[full] scen=S1_jan rep=45/200 done (143.6 min elapsed)
[full] scen=S1_jan rep=48/200 done (152.9 min elapsed)
[full] scen=S1_jan rep=51/200 done (164.0 min elapsed)
[full] scen=S1_jan rep=54/200 done (172.1 min elapsed)
[full] scen=S1_jan rep=57/200 done (181.6 min elapsed)
[full] scen=S1_jan rep=60/200 done (193.1 min elapsed)
[full] scen=S1_jan rep=63/200 done (204.1 min elapsed)
[full] scen=S1_jan rep=66/200 done (214.1 min elapsed)
[full] scen=S1_jan rep=69/200 done (223.8 min elapsed)
[full] scen=S1_jan rep=72/200 done (230.7 min elapsed)
[full] scen=S1_jan rep=75/200 done (240.2 min elapsed)
[full] scen=S1_jan rep=78/200 done (248.6 min elapsed)
[full] scen=S1_jan rep=81/200 done (257.7 min elapsed)
[full] scen=S1_jan rep=84/200 done (268.5 min elapsed)
[full] scen=S1_jan rep=87/200 done (283.9 min elapsed)
[full] scen=S1_jan rep=90/200 done (295.0 min elapsed)
[full] scen=S1_jan rep=93/200 done (310.1 min elapsed)
[full] scen=S1_jan rep=96/200 done (321.4 min elapsed)
[full] scen=S1_jan rep=99/200 done (333.8 min elapsed)
[full] scen=S1_jan rep=102/200 done (345.4 min elapsed)
[full] scen=S1_jan rep=105/200 done (357.3 min elapsed)
[full] scen=S1_jan rep=108/200 done (368.5 min elapsed)
[full] scen=S1_jan rep=111/200 done (438.0 min elapsed)
[full] scen=S1_jan rep=114/200 done (446.6 min elapsed)
[full] scen=S1_jan rep=117/200 done (455.9 min elapsed)
[full] scen=S1_jan rep=120/200 done (464.1 min elapsed)
[full] scen=S1_jan rep=123/200 done (473.3 min elapsed)
[full] scen=S1_jan rep=126/200 done (481.3 min elapsed)
[full] scen=S1_jan rep=129/200 done (488.2 min elapsed)
[full] scen=S1_jan rep=132/200 done (497.8 min elapsed)
[full] scen=S1_jan rep=135/200 done (513.0 min elapsed)
[full] scen=S1_jan rep=138/200 done (522.0 min elapsed)
[full] scen=S1_jan rep=141/200 done (530.9 min elapsed)
[full] scen=S1_jan rep=144/200 done (540.9 min elapsed)
[full] scen=S1_jan rep=147/200 done (550.3 min elapsed)
[full] scen=S1_jan rep=150/200 done (558.9 min elapsed)
[full] scen=S1_jan rep=153/200 done (566.9 min elapsed)
[full] scen=S1_jan rep=156/200 done (576.2 min elapsed)
[full] scen=S1_jan rep=159/200 done (583.4 min elapsed)
[full] scen=S1_jan rep=162/200 done (592.4 min elapsed)
[full] scen=S1_jan rep=165/200 done (600.1 min elapsed)
[full] scen=S1_jan rep=168/200 done (608.8 min elapsed)
[full] scen=S1_jan rep=171/200 done (620.5 min elapsed)
[full] scen=S1_jan rep=174/200 done (629.5 min elapsed)
[full] scen=S1_jan rep=177/200 done (639.3 min elapsed)
[full] scen=S1_jan rep=180/200 done (646.2 min elapsed)
[full] scen=S1_jan rep=183/200 done (655.5 min elapsed)
[full] scen=S1_jan rep=186/200 done (664.2 min elapsed)
[full] scen=S1_jan rep=189/200 done (673.6 min elapsed)
[full] scen=S1_jan rep=192/200 done (683.8 min elapsed)
[full] scen=S1_jan rep=195/200 done (691.3 min elapsed)
