RUN tag=s3  R=200  scen=S3_nogp  chains=4 iter=1500 warmup=750
shard 1/3 handles 67 reps
[s3] scen=S3_nogp rep=2/200 done (10.2 min elapsed)
[s3] scen=S3_nogp rep=5/200 done (19.8 min elapsed)
[s3] scen=S3_nogp rep=8/200 done (30.3 min elapsed)
[s3] scen=S3_nogp rep=11/200 done (40.2 min elapsed)
[s3] scen=S3_nogp rep=14/200 done (50.9 min elapsed)
[s3] scen=S3_nogp rep=17/200 done (61.0 min elapsed)
[s3] scen=S3_nogp rep=20/200 done (70.2 min elapsed)
[s3] scen=S3_nogp rep=23/200 done (79.2 min elapsed)
[s3] scen=S3_nogp rep=26/200 done (87.8 min elapsed)
[s3] scen=S3_nogp rep=29/200 done (97.7 min elapsed)
[s3] scen=S3_nogp rep=32/200 done (109.4 min elapsed)
[s3] scen=S3_nogp rep=35/200 done (118.8 min elapsed)
[s3] scen=S3_nogp rep=38/200 done (130.0 min elapsed)
[s3] scen=S3_nogp rep=41/200 done (150.6 min elapsed)
[s3] scen=S3_nogp rep=44/200 done (164.7 min elapsed)
[s3] scen=S3_nogp rep=47/200 done (174.2 min elapsed)
[s3] scen=S3_nogp rep=50/200 done (183.3 min elapsed)
[s3] scen=S3_nogp rep=53/200 done (193.7 min elapsed)
[s3] scen=S3_nogp rep=56/200 done (200.9 min elapsed)
[s3] scen=S3_nogp rep=59/200 done (213.8 min elapsed)
[s3] scen=S3_nogp rep=62/200 done (222.7 min elapsed)
[s3] scen=S3_nogp rep=65/200 done (231.1 min elapsed)
[s3] scen=S3_nogp rep=68/200 done (240.0 min elapsed)
[s3] scen=S3_nogp rep=71/200 done (249.8 min elapsed)
[s3] scen=S3_nogp rep=74/200 done (259.0 min elapsed)
[s3] scen=S3_nogp rep=77/200 done (270.9 min elapsed)
[s3] scen=S3_nogp rep=80/200 done (279.5 min elapsed)
[s3] scen=S3_nogp rep=83/200 done (289.5 min elapsed)
[s3] scen=S3_nogp rep=86/200 done (298.3 min elapsed)
[s3] scen=S3_nogp rep=89/200 done (307.5 min elapsed)
[s3] scen=S3_nogp rep=92/200 done (351.8 min elapsed)
[s3] scen=S3_nogp rep=95/200 done (360.9 min elapsed)
[s3] scen=S3_nogp rep=98/200 done (373.0 min elapsed)
[s3] scen=S3_nogp rep=101/200 done (381.8 min elapsed)
[s3] scen=S3_nogp rep=104/200 done (391.4 min elapsed)
[s3] scen=S3_nogp rep=107/200 done (400.5 min elapsed)
[s3] scen=S3_nogp rep=110/200 done (411.3 min elapsed)
[s3] scen=S3_nogp rep=113/200 done (419.7 min elapsed)
[s3] scen=S3_nogp rep=116/200 done (428.4 min elapsed)
[s3] scen=S3_nogp rep=119/200 done (438.8 min elapsed)
[s3] scen=S3_nogp rep=122/200 done (447.7 min elapsed)
[s3] scen=S3_nogp rep=125/200 done (459.9 min elapsed)
[s3] scen=S3_nogp rep=128/200 done (467.5 min elapsed)
[s3] scen=S3_nogp rep=131/200 done (477.2 min elapsed)
[s3] scen=S3_nogp rep=134/200 done (485.9 min elapsed)
[s3] scen=S3_nogp rep=137/200 done (548.8 min elapsed)
[s3] scen=S3_nogp rep=140/200 done (557.5 min elapsed)
[s3] scen=S3_nogp rep=143/200 done (567.4 min elapsed)
[s3] scen=S3_nogp rep=146/200 done (576.9 min elapsed)
[s3] scen=S3_nogp rep=149/200 done (585.7 min elapsed)
[s3] scen=S3_nogp rep=152/200 done (595.2 min elapsed)
[s3] scen=S3_nogp rep=155/200 done (604.5 min elapsed)
[s3] scen=S3_nogp rep=158/200 done (613.1 min elapsed)
[s3] scen=S3_nogp rep=161/200 done (622.6 min elapsed)
[s3] scen=S3_nogp rep=164/200 done (631.7 min elapsed)
[s3] scen=S3_nogp rep=167/200 done (640.7 min elapsed)
[s3] scen=S3_nogp rep=170/200 done (648.9 min elapsed)
[s3] scen=S3_nogp rep=173/200 done (658.1 min elapsed)
[s3] scen=S3_nogp rep=176/200 done (668.8 min elapsed)
[s3] scen=S3_nogp rep=179/200 done (676.4 min elapsed)
[s3] scen=S3_nogp rep=182/200 done (686.4 min elapsed)
[s3] scen=S3_nogp rep=185/200 done (695.7 min elapsed)
[s3] scen=S3_nogp rep=188/200 done (707.1 min elapsed)
[s3] scen=S3_nogp rep=191/200 done (716.8 min elapsed)
[s3] scen=S3_nogp rep=194/200 done (726.0 min elapsed)
[s3] scen=S3_nogp rep=197/200 done (735.4 min elapsed)
[s3] scen=S3_nogp rep=200/200 done (741.8 min elapsed)
Ci sono 50 o più avvertimenti (utilizza warnings() per visualizzare i primi 50)

DONE. Wrote sim/sim_results_s3_shard1.rds with 1876 rows
