RUN tag=full  R=200  scen=S1_jan+S2_jul+S4_miss+S3_nogp  chains=4 iter=1500 warmup=750
shard 1/3 handles 67 reps
[full] scen=S1_jan rep=2/200 done (12.4 min elapsed)
[full] scen=S1_jan rep=5/200 done (20.8 min elapsed)
[full] scen=S1_jan rep=8/200 done (30.7 min elapsed)
[full] scen=S1_jan rep=11/200 done (40.6 min elapsed)
[full] scen=S1_jan rep=14/200 done (48.7 min elapsed)
[full] scen=S1_jan rep=17/200 done (58.0 min elapsed)
[full] scen=S1_jan rep=20/200 done (68.4 min elapsed)
[full] scen=S1_jan rep=23/200 done (76.2 min elapsed)
[full] scen=S1_jan rep=26/200 done (84.1 min elapsed)
[full] scen=S1_jan rep=29/200 done (95.7 min elapsed)
[full] scen=S1_jan rep=32/200 done (105.5 min elapsed)
[full] scen=S1_jan rep=35/200 done (113.8 min elapsed)
[full] scen=S1_jan rep=38/200 done (122.7 min elapsed)
[full] scen=S1_jan rep=41/200 done (136.3 min elapsed)
[full] scen=S1_jan rep=44/200 done (147.4 min elapsed)
[full] scen=S1_jan rep=47/200 done (157.7 min elapsed)
[full] scen=S1_jan rep=50/200 done (168.3 min elapsed)
[full] scen=S1_jan rep=53/200 done (180.8 min elapsed)
[full] scen=S1_jan rep=56/200 done (188.4 min elapsed)
[full] scen=S1_jan rep=59/200 done (199.7 min elapsed)
[full] scen=S1_jan rep=62/200 done (210.9 min elapsed)
[full] scen=S1_jan rep=65/200 done (222.2 min elapsed)
[full] scen=S1_jan rep=68/200 done (230.2 min elapsed)
[full] scen=S1_jan rep=71/200 done (239.5 min elapsed)
[full] scen=S1_jan rep=74/200 done (246.8 min elapsed)
[full] scen=S1_jan rep=77/200 done (255.4 min elapsed)
[full] scen=S1_jan rep=80/200 done (262.1 min elapsed)
[full] scen=S1_jan rep=83/200 done (272.0 min elapsed)
[full] scen=S1_jan rep=86/200 done (282.3 min elapsed)
[full] scen=S1_jan rep=89/200 done (294.4 min elapsed)
[full] scen=S1_jan rep=92/200 done (306.5 min elapsed)
[full] scen=S1_jan rep=95/200 done (320.3 min elapsed)
[full] scen=S1_jan rep=98/200 done (333.4 min elapsed)
[full] scen=S1_jan rep=101/200 done (344.1 min elapsed)
[full] scen=S1_jan rep=104/200 done (354.9 min elapsed)
[full] scen=S1_jan rep=107/200 done (367.0 min elapsed)
[full] scen=S1_jan rep=110/200 done (434.2 min elapsed)
[full] scen=S1_jan rep=113/200 done (442.2 min elapsed)
[full] scen=S1_jan rep=116/200 done (451.0 min elapsed)
[full] scen=S1_jan rep=119/200 done (460.0 min elapsed)
[full] scen=S1_jan rep=122/200 done (467.3 min elapsed)
[full] scen=S1_jan rep=125/200 done (476.3 min elapsed)
[full] scen=S1_jan rep=128/200 done (484.5 min elapsed)
[full] scen=S1_jan rep=131/200 done (493.3 min elapsed)
[full] scen=S1_jan rep=134/200 done (504.1 min elapsed)
[full] scen=S1_jan rep=137/200 done (512.9 min elapsed)
[full] scen=S1_jan rep=140/200 done (520.4 min elapsed)
[full] scen=S1_jan rep=143/200 done (531.1 min elapsed)
[full] scen=S1_jan rep=146/200 done (540.3 min elapsed)
[full] scen=S1_jan rep=149/200 done (547.2 min elapsed)
[full] scen=S1_jan rep=152/200 done (555.8 min elapsed)
[full] scen=S1_jan rep=155/200 done (565.3 min elapsed)
[full] scen=S1_jan rep=158/200 done (574.3 min elapsed)
[full] scen=S1_jan rep=161/200 done (583.2 min elapsed)
[full] scen=S1_jan rep=164/200 done (592.7 min elapsed)
[full] scen=S1_jan rep=167/200 done (601.4 min elapsed)
[full] scen=S1_jan rep=170/200 done (609.6 min elapsed)
[full] scen=S1_jan rep=173/200 done (617.9 min elapsed)
[full] scen=S1_jan rep=176/200 done (627.1 min elapsed)
[full] scen=S1_jan rep=179/200 done (634.7 min elapsed)
[full] scen=S1_jan rep=182/200 done (646.0 min elapsed)
[full] scen=S1_jan rep=185/200 done (658.3 min elapsed)
[full] scen=S1_jan rep=188/200 done (670.7 min elapsed)
[full] scen=S1_jan rep=191/200 done (679.7 min elapsed)
[full] scen=S1_jan rep=194/200 done (691.7 min elapsed)
[full] scen=S1_jan rep=197/200 done (700.8 min elapsed)
[full] scen=S1_jan rep=200/200 done (709.0 min elapsed)
[full] scen=S2_jul rep=2/200 done (711.6 min elapsed)
[full] scen=S2_jul rep=5/200 done (714.2 min elapsed)
